codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_dia,ocorrencia_hora,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_tipo,localizacao
36326,INCIDENTE,SÃO PAULO,SP,13/08/2008,21:20:00,2,NÃO,TRÁFEGO AÉREO,SÃO PAULO - SP
36320,INCIDENTE,GUARULHOS,SP,26/05/2008,21:00:00,1,NÃO,COLISÃO DE VEÍCULO COM AERONAVE,GUARULHOS - SP
36318,INCIDENTE,RIO DE JANEIRO,RJ,02/06/2008,20:22:00,1,NÃO,ESTOURO DE PNEU,RIO DE JANEIRO - RJ
36315,INCIDENTE,GUARULHOS,SP,19/07/2008,10:47:00,1,NÃO,FOGO NO SOLO,GUARULHOS - SP
36314,INCIDENTE,PARNAMIRIM,RN,17/07/2008,20:30:00,1,NÃO,FALHA DO MOTOR NO SOLO,PARNAMIRIM - RN
36313,INCIDENTE,CONFINS,MG,04/09/2008,17:30:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CONFINS - MG
36309,INCIDENTE,RIO DE JANEIRO,RJ,15/08/2008,13:30:00,1,NÃO,TRÁFEGO AÉREO,RIO DE JANEIRO - RJ
36308,INCIDENTE,SÃO PAULO,SP,06/08/2008,21:55:00,1,NÃO,COLISÃO COM OBSTÁCULOS NO SOLO,SÃO PAULO - SP
36305,INCIDENTE,SÃO PAULO,SP,06/08/2008,12:00:00,1,NÃO,COLISÃO DE VEÍCULO COM AERONAVE,SÃO PAULO - SP
36302,INCIDENTE,BRASÍLIA,DF,09/08/2008,22:20:00,1,NÃO,VAZAMENTO DE OUTROS FLUIDOS,BRASÍLIA - DF
36301,INCIDENTE,SALVADOR,BA,28/05/2008,16:00:00,1,NÃO,COLISÃO DE VEÍCULO COM AERONAVE,SALVADOR - BA
36299,INCIDENTE,BELÉM,PA,11/09/2008,16:25:00,1,NÃO,COLISÃO COM AVE,BELÉM - PA
36298,INCIDENTE,PARNAMIRIM,RN,10/08/2008,03:00:00,1,NÃO,COM TREM DE POUSO,PARNAMIRIM - RN
36297,INCIDENTE,SÃO PAULO,SP,12/08/2008,16:51:00,1,NÃO,COLISÃO DE VEÍCULO COM AERONAVE,SÃO PAULO - SP
36295,INCIDENTE,GUARULHOS,SP,20/08/2008,00:04:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,GUARULHOS - SP
36292,INCIDENTE,SALVADOR,BA,18/08/2008,07:50:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SALVADOR - BA
36284,INCIDENTE GRAVE,BELO HORIZONTE,MG,26/08/2008,00:20:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,BELO HORIZONTE - MG
36283,INCIDENTE,PORTO ALEGRE,RS,11/09/2008,02:04:00,1,NÃO,FALHA DO MOTOR EM VOO,PORTO ALEGRE - RS
36282,INCIDENTE,FORMOSA,GO,27/08/2008,18:30:00,1,NÃO,TRÁFEGO AÉREO,FORMOSA - GO
36281,INCIDENTE,SÃO PAULO,SP,01/09/2008,16:20:00,1,NÃO,COLISÃO COM AVE,SÃO PAULO - SP
36280,INCIDENTE,SÃO PAULO,SP,17/07/2008,10:45:00,1,NÃO,TRÁFEGO AÉREO,SÃO PAULO - SP
36277,INCIDENTE,SÃO PAULO,SP,09/09/2008,00:03:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO PAULO - SP
36276,INCIDENTE,SÃO PAULO,SP,13/09/2008,15:36:00,1,NÃO,ESTOURO DE PNEU,SÃO PAULO - SP
36270,INCIDENTE,RECIFE,PE,25/09/2008,04:32:00,1,NÃO,VAZAMENTO DE OUTROS FLUIDOS,RECIFE - PE
36265,INCIDENTE,BRASÍLIA,DF,23/09/2008,13:50:00,1,NÃO,COLISÃO DE VEÍCULO COM AERONAVE,BRASÍLIA - DF
36264,INCIDENTE,SÃO PAULO,SP,30/09/2008,16:55:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO PAULO - SP
36260,INCIDENTE,MARÍLIA,SP,09/09/2008,13:00:00,1,NÃO,TRÁFEGO AÉREO,MARÍLIA - SP
36259,INCIDENTE,BRASÍLIA,DF,01/10/2008,06:34:00,1,NÃO,OUTROS,BRASÍLIA - DF
36256,INCIDENTE,IPATINGA,MG,03/10/2008,06:34:00,1,NÃO,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,IPATINGA - MG
36255,INCIDENTE,SÃO PAULO,SP,11/09/2008,01:22:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO PAULO - SP
36246,INCIDENTE,RIO DE JANEIRO,RJ,18/09/2008,12:40:00,1,NÃO,COLISÃO COM AVE,RIO DE JANEIRO - RJ
36244,INCIDENTE,RIO DE JANEIRO,RJ,19/09/2008,21:54:00,1,NÃO,COLISÃO COM AVE,RIO DE JANEIRO - RJ
36240,INCIDENTE,CONFINS,MG,22/09/2008,18:53:00,1,NÃO,COLISÃO COM AVE,CONFINS - MG
36238,INCIDENTE,NÃO IDENTIFICADA,PE,30/09/2008,09:30:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,NÃO IDENTIFICADA - PE
36236,INCIDENTE,GUARULHOS,SP,26/09/2008,18:45:00,1,NÃO,FALHA DO MOTOR EM VOO,GUARULHOS - SP
36235,INCIDENTE,VILHENA,RO,27/09/2008,13:30:00,1,NÃO,COLISÃO COM AVE,VILHENA - RO
36218,INCIDENTE,RIBEIRÃO PRETO,SP,31/12/2008,21:27:00,1,NÃO,ESTOURO DE PNEU,RIBEIRÃO PRETO - SP
36217,ACIDENTE,LONDRINA,PR,29/03/2009,13:05:00,1,NÃO,PERDA DE CONTROLE EM VOO,LONDRINA - PR
36216,ACIDENTE,SOROCABA,SP,01/04/2009,14:30:00,1,SIM,POUSO BRUSCO,SOROCABA - SP
36215,ACIDENTE,PARÁ DE MINAS,MG,29/03/2009,15:12:00,1,NÃO,PANE SECA,PARÁ DE MINAS - MG
36138,INCIDENTE GRAVE,ITAITUBA,PA,16/03/2009,19:30:00,1,NÃO,COLISÃO COM OBSTÁCULOS NO SOLO,ITAITUBA - PA
36136,INCIDENTE,RIO DE JANEIRO,RJ,23/03/2009,20:30:00,1,NÃO,FALHA DO MOTOR EM VOO,RIO DE JANEIRO - RJ
36097,INCIDENTE GRAVE,ÁGUA BRANCA,PI,20/03/2009,19:55:00,1,NÃO,POUSO EM LOCAL NÃO PREVISTO,ÁGUA BRANCA - PI
36078,INCIDENTE,SÃO PAULO,SP,29/03/2009,13:49:00,1,NÃO,COLISÃO COM OBSTÁCULOS NO SOLO,SÃO PAULO - SP
36077,INCIDENTE,JUNDIAÍ,SP,10/07/2008,11:35:00,1,NÃO,FALHA DO MOTOR EM VOO,JUNDIAÍ - SP
